State,Year,EVs_per_1000_forecast_panel_baseline,Outlets_per_100k_proj
Indiana,2026,126.39516272302808,3263.184160928663
Indiana,2027,647.6158446714351,17200.469307027717
Indiana,2028,3393.2051496304057,90664.8628429863
Iowa,2024,8.167196490844702,140.03058988039746
Iowa,2025,30.937517737003777,738.1109200399238
Iowa,2026,149.1605119033983,3890.633687592922
Iowa,2027,770.5211439930599,20507.799139747385
Iowa,2028,4043.955049154351,108098.02703796148
Kansas,2024,10.868747101667937,213.59304365432106
Kansas,2025,45.379519396299656,1125.863699499336
Kansas,2026,225.48724269561717,5934.505394762596
Kansas,2027,1173.046560342038,31281.188207886727
Kansas,2028,6165.896288272911,164885.30561633705
Kentucky,2024,6.632322696456493,98.3418145142194
Kentucky,2025,22.74918145805006,518.3665030011226
Kentucky,2026,105.9013148923122,2732.3456737190927
Kentucky,2027,542.4010154976736,14402.382942316153
Kentucky,2028,2841.4201707542725,75915.95617357624
Louisiana,2024,5.65128557559565,81.45445036765501
Louisiana,2025,19.072947780671527,429.35203910493954
Louisiana,2026,88.0185138376281,2263.144280656406
Louisiana,2027,449.6344156499653,11929.189962030103
Louisiana,2028,2353.9358905024974,62879.58499443316
Maine,2024,18.733258099321738,408.2345779236201
Maine,2025,84.3085108164154,2151.8326828493537
Maine,2026,428.1592580133662,11342.458834648209
Maine,2027,2238.81937472398,59786.8846593292
Maine,2028,11781.133083550687,315140.8023054814
Maryland,2024,22.574656520086563,425.7848673145067
Maryland,2025,90.95090761215931,2244.341471538586
Maryland,2026,449.5659108859571,11830.07905526935
Maryland,2027,2338.0494420797527,62357.16455303066
Maryland,2028,12290.575748838755,328688.92531717836
Massachusetts,2024,25.57532926376171,524.5284294376684
Massachusetts,2025,109.71089639253988,2764.8256139605915
Massachusetts,2026,551.394343989737,14573.586952775371
Massachusetts,2027,2877.7373880099703,76818.38434860937
Massachusetts,2028,15138.251457561342,404915.0146118888
Michigan,2024,10.460909123741256,175.22562661585135
Michigan,2025,38.84830245957913,923.6263918224317
Michigan,2026,186.67927193754366,4868.498564660015
Michigan,2027,964.1055887922851,25662.192509818866
Michigan,2028,5060.172507690095,135267.19083196283
Minnesota,2024,11.583121952986744,182.78628860708886
Minnesota,2025,41.17718496130415,963.479163871951
Minnesota,2026,195.36859370399557,5078.565281287693
Minnesota,2027,1006.3212256414301,26769.46869577405
Minnesota,2028,5279.10766912577,141103.7201578176
Mississippi,2024,5.870593715659691,98.68125588522673
Mississippi,2025,22.04162678215594,520.1557219344131
Mississippi,2026,105.47931672280997,2741.7767704111216
Mississippi,2027,543.4842054148342,14452.094904982916
Mississippi,2028,2850.4373111348896,76177.99136554604
Missouri,2024,11.71202151681077,229.50406984265888
Missouri,2025,48.76216837702235,1209.7318185202168
Missouri,2026,242.25511056691968,6376.580048203628
Missouri,2027,1260.368842350281,33611.39426826532
Missouri,2028,6625.115764858244,177167.98285548665
Montana,2024,9.646412066265981,161.67751752086934
Montana,2025,35.87154866012732,852.2133721569456
Montana,2026,172.3051133671344,4492.075600983705
Montana,2027,889.6549217336653,23678.041044909765
Montana,2028,4669.054411101302,124808.5912894379
Nebraska,2024,8.777982916637619,146.90000421871525
Nebraska,2025,32.644651805285,774.3200779226544
Nebraska,2026,156.64657018939383,4081.4946620522924
Nebraska,2027,808.4683113468764,21513.840530976595
Nebraska,2028,4242.464828282419,113400.94076211762
Nevada,2024,21.116093079427962,325.8379457428346
Nevada,2025,73.54097387376734,1717.5143382712417
Nevada,2026,348.0752015369377,9053.136814505497
Nevada,2027,1793.3631517034883,47719.71002271259
Nevada,2028,9409.77491128352,251533.89055196338
New Hampshire,2024,13.45050488858712,224.4209468552836
New Hampshire,2025,49.689393375198875,1182.9383258405658
New Hampshire,2026,238.90613659286237,6235.349695965938
