State,Year,EVs_per_1000_arima
Vermont,2024,15.65314646917104
Vermont,2025,19.07725073097479
Vermont,2026,22.30780822868183
Vermont,2027,25.355759151909094
Vermont,2028,28.231425298385588
Virginia,2024,12.498549193246022
Virginia,2025,14.910102188669208
Virginia,2026,17.00303440591748
Virginia,2027,18.819442867315225
Virginia,2028,20.395862624938918
Washington,2024,24.729486673562324
Washington,2025,29.537529512193125
Washington,2026,33.84102715173997
Washington,2027,37.69292543034585
Washington,2028,41.140614169008494
West Virginia,2024,2.030412869965277
West Virginia,2025,2.425185748178879
West Virginia,2026,2.772331521795276
West Virginia,2027,3.0775961303597015
West Virginia,2028,3.346032298460554
Wisconsin,2024,5.580511999106952
Wisconsin,2025,6.820804358940384
Wisconsin,2026,7.934072111461434
Wisconsin,2027,8.933324488513659
Wisconsin,2028,9.830238380776645
Wyoming,2024,2.3666741964018243
Wyoming,2025,2.8349762202611832
Wyoming,2026,3.2857168354109034
Wyoming,2027,3.71955459778317
Wyoming,2028,4.137123367346252
